,Noun,Frequency C3 relevant constr,Probability C3 relevant constr,C3 Entropy,C3 Entropy Adjusted Score,C3 Score
0,potato,20559,0.03084,0.805,2.484,0.917
1,cabbage,3067,0.02609,0.638,1.664,0.811
2,bean,7296,0.013,0.965,1.254,0.715
3,apple,17081,0.02886,0.304,0.879,0.585
4,berry,940,0.00342,0.743,0.254,0.224
5,pebble,161,0.0019,0.983,0.187,0.17
6,grape,765,0.00203,0.708,0.144,0.134
7,ball,2232,0.00098,0.724,0.071,0.068
8,pollen,153,0.00103,0.661,0.068,0.066
9,chair,2058,0.00172,0.3,0.052,0.05
10,kitchenware,4,0.00036,0.724,0.026,0.026
11,sand,336,0.00034,0.594,0.02,0.02
12,car,2378,0.00026,0.677,0.018,0.018
13,lentil,168,0.00281,0.026,0.007,0.007
14,rice,2901,0.00398,0.016,0.006,0.006
15,seed,7002,0.0049,0.01,0.005,0.005
16,furniture,1228,0.00127,0.019,0.002,0.002
17,equipment,0,0.0,NaN,0.0,0.0
18,dust,0,0.0,NaN,0.0,0.0
19,gravel,0,0.0,NaN,0.0,0.0
20,jewelry,0,0.0,NaN,0.0,0.0
