noun,total_mod,stub_mod,entropy,percent,noun_cat
auto,3798310,27796,0.8550531729134334,0.6257271785162821,C
bambus,31632,104,1.5929135997106536,0.5237196964147318,granfil
bláto,67282,0,2.3978952727983707,0.0,M
byt,2526144,34041,0.5631836845717145,0.7589169820289633,C
chřest,24938,11,1.6884397864047886,0.07447605120880856,granfil
drůbež,54217,234,1.393223785738781,0.6013139160463965,OMN
jablko,212710,2071,0.779096431150762,0.7585485914687735,C
košile,207390,1604,0.8556286857916433,0.6617620965378253,C
kukuřice,83393,51,1.2298507440332545,0.07521301301751464,granfil
most,667458,8635,1.017805980208668,1.3167502133620166,C
munice,82592,49,1.504852700346984,0.08927956983364274,OMN
míč,641766,5293,0.8691625827522267,0.7168465687661135,C
nábytek,672318,1370,0.8964184685901542,0.18266553951679282,OMN
nádobí,213056,407,1.2846315471570844,0.24540263578257987,OMN
obuv,259255,149,1.2292907433238391,0.07065025583122873,OMN
ocel,359688,267,1.6858251997602012,0.12514049074085698,M
olej,1113258,0,2.3978952727983707,0.0,M
pero,101030,921,1.3829921038990678,1.2607500026636063,C
pes,1973676,27432,0.7630361166994358,1.0605391540100262,C
plyn,776891,0,2.3978952727983707,0.0,M
pudink,29470,15,1.2001000735876937,0.061084157121871076,M
pyl,39761,5,1.1863335609481276,0.014918306392547064,granfil
písek,282423,289,0.7280464154263658,0.0745000988086026,granfil
příbor,38121,94,1.3258762554640517,0.32693887362246754,OMN
pšenice,66481,12,1.3230633792239193,0.02388165122469131,granfil
rýže,171692,168,1.1857856341287705,0.11602869471707093,granfil
sláma,61996,141,0.7704860483055471,0.17523474548532508,granfil
suť,29019,195,0.8930397879776163,0.6000991028485998,granfil
tekutina,216522,0,2.3978952727983707,0.0,M
tráva,366704,857,1.3874861118364379,0.32426032926933634,granfil
vybavení,1097304,1327,0.7590078343978014,0.091788911390634,OMN
vzduch,1162591,0,2.3978952727983707,0.0,M
zlato,590502,4,0.9609194421369969,0.0006509169771733183,M
šampon,124227,0,0.8414009365577011,0.0,M
šperk,281115,1509,1.1064154569883216,0.5939138518383499,C
šrot,41553,31,1.0606303681608047,0.0791267571847639,granfil
štěrk,56813,1058,0.2693983845427931,0.5016870977527592,granfil
židle,367149,549,1.1697627619478477,0.17491529496454258,C
